Titulo,Autor,Ano
What a Wonderful World,Bob Thiele / George David Weiss,1967
What Are You Doing the Rest of Your Life,Michel Legrand / Alan Bergman / Marilyn Bergman,1969
What Is This Thing Called Love,Cole Porter,1929
Whatever Lola wants,,
What`s New,Bob Hggart,
When I Fall In Love,Victor Young / Edward Heyman,1952
When I Grow Too Old To Dream,Sigmund Romberg / Oscar Hammerstein II,1934
When Sunny Gets Blue,,
When the Saints,Spiritual,
When Will the Blues Leave,Ornette Coleman,1958
When you`re smiling,Larry Shay / Mark Fisher / Joe Goodwin,1928
Whisper Not,Benny Golson / Leonard Feather,1956
White Christmas,,
Who Can I Turn To?,Anthony Newley / Leslie Bricusse,1964
Who walk in when I walk out,Al Goodhart / Al Hoffman / Ralph Freed,1933
